chr	start	end	name	TargetGene	TargetGeneTSS	CellType	ABC.Score
chr7	91538	92904	intergenic|chr7:91538-92904	LOC442497	419390	NEU	0.012287
chr7	139259	139759	intergenic|chr7:139259-139759	LOC102723672	149438	NEU	0.028440
chr7	139259	139759	intergenic|chr7:139259-139759	LOC100507642	149717	NEU	0.028439
chr7	159612	160112	intergenic|chr7:159612-160112	LOC102723672	149438	NEU	0.015164
chr7	159612	160112	intergenic|chr7:159612-160112	LOC100507642	149717	NEU	0.015163
chr7	205064	205564	genic|chr7:205064-205564	FAM20C	192968	NEU	0.015292
chr7	207708	208208	genic|chr7:207708-208208	FAM20C	192968	NEU	0.015236
chr7	372025	373906	intergenic|chr7:372025-373906	HRAT92	560027	NEU	0.015981
chr7	372025	373906	intergenic|chr7:372025-373906	DNAAF5	766337	NEU	0.012342
chr7	372025	373906	intergenic|chr7:372025-373906	PRKAR1B	767313	NEU	0.012340
chr7	413170	413921	intergenic|chr7:413170-413921	LOC442497	419390	NEU	0.079849
chr7	417374	417874	intergenic|chr7:417374-417874	LOC442497	419390	NEU	0.066763
chr7	491316	492778	intergenic|chr7:491316-492778	SUN1	856251	NEU	0.014561
chr7	751466	752953	genic|chr7:751466-752953	DNAAF5	766337	NEU	0.039326
chr7	751466	752953	genic|chr7:751466-752953	PRKAR1B	767313	NEU	0.039321
chr7	813738	814580	genic|chr7:813738-814580	DNAAF5	766337	NEU	0.013267
chr7	813738	814580	genic|chr7:813738-814580	PRKAR1B	767313	NEU	0.013266
chr7	852780	853280	intergenic|chr7:852780-853280	SUN1	856251	NEU	0.017516
chr7	912820	913474	genic|chr7:912820-913474	GET4	916190	NEU	0.018017
chr7	948029	949346	genic|chr7:948029-949346	COX19	1015235	NEU	0.012550
chr7	993141	993773	genic|chr7:993141-993773	ADAP1	994319	NEU	0.034052
chr7	997193	997942	intergenic|chr7:997193-997942	ADAP1	994319	NEU	0.054907
chr7	1003939	1005004	genic|chr7:1003939-1005004	ADAP1	994319	NEU	0.066098
chr7	1003939	1005004	genic|chr7:1003939-1005004	COX19	1015235	NEU	0.017649
chr7	1019340	1020174	intergenic|chr7:1019340-1020174	COX19	1015235	NEU	0.016905
chr7	1067065	1068917	genic|chr7:1067065-1068917	SUN1	856251	NEU	0.027085
chr7	1067065	1068917	genic|chr7:1067065-1068917	ADAP1	994319	NEU	0.044906
chr7	1067065	1068917	genic|chr7:1067065-1068917	COX19	1015235	NEU	0.058459
chr7	1067065	1068917	genic|chr7:1067065-1068917	GPR146	1094910	NEU	0.015473
chr7	1067065	1068917	genic|chr7:1067065-1068917	GPER1	1126442	NEU	0.029193
chr7	1067065	1068917	genic|chr7:1067065-1068917	C7orf50	1177893	NEU	0.020480
chr7	1067065	1068917	genic|chr7:1067065-1068917	ZFAND2A	1199855	NEU	0.018776
chr7	1067065	1068917	genic|chr7:1067065-1068917	LOC101927021	1200009	NEU	0.022196
chr7	1067065	1068917	genic|chr7:1067065-1068917	MAD1L1	2272583	NEU	0.016859
chr7	1067065	1068917	genic|chr7:1067065-1068917	MRM2	2281833	NEU	0.016781
chr7	1067065	1068917	genic|chr7:1067065-1068917	NUDT1	2281856	NEU	0.016781
chr7	1067065	1068917	genic|chr7:1067065-1068917	AMZ1	2727835	NEU	0.014231
chr7	1083247	1084759	genic|chr7:1083247-1084759	LOC102723672	149438	NEU	0.023318
chr7	1083247	1084759	genic|chr7:1083247-1084759	LOC100507642	149717	NEU	0.023317
chr7	1083247	1084759	genic|chr7:1083247-1084759	FAM20C	192968	NEU	0.014781
chr7	1083247	1084759	genic|chr7:1083247-1084759	LOC442497	419390	NEU	0.013450
chr7	1083247	1084759	genic|chr7:1083247-1084759	HRAT92	560027	NEU	0.012785
chr7	1083247	1084759	genic|chr7:1083247-1084759	DNAAF5	766337	NEU	0.036462
chr7	1083247	1084759	genic|chr7:1083247-1084759	PRKAR1B	767313	NEU	0.036458
chr7	1083247	1084759	genic|chr7:1083247-1084759	SUN1	856251	NEU	0.013099
chr7	1083247	1084759	genic|chr7:1083247-1084759	GET4	916190	NEU	0.013296
chr7	1083247	1084759	genic|chr7:1083247-1084759	ADAP1	994319	NEU	0.030704
chr7	1083247	1084759	genic|chr7:1083247-1084759	COX19	1015235	NEU	0.012740
chr7	1083247	1084759	genic|chr7:1083247-1084759	GPR146	1094910	NEU	0.082992
chr7	1083247	1084759	genic|chr7:1083247-1084759	TFAMP1	1654105	NEU	0.012466
chr7	1083247	1084759	genic|chr7:1083247-1084759	SNX8	2354110	NEU	0.035884
chr7	1091541	1092041	genic|chr7:1091541-1092041	GPR146	1094910	NEU	0.012648
chr7	1092450	1092950	genic|chr7:1092450-1092950	GPR146	1094910	NEU	0.015977
chr7	1093442	1093942	genic|chr7:1093442-1093942	GPR146	1094910	NEU	0.016805
chr7	1098424	1100452	genic|chr7:1098424-1100452	FAM20C	192968	NEU	0.016537
chr7	1098424	1100452	genic|chr7:1098424-1100452	GET4	916190	NEU	0.018783
chr7	1098424	1100452	genic|chr7:1098424-1100452	GPR146	1094910	NEU	0.108719
chr7	1098424	1100452	genic|chr7:1098424-1100452	GPER1	1126442	NEU	0.027453
chr7	1098424	1100452	genic|chr7:1098424-1100452	C7orf50	1177893	NEU	0.014341
chr7	1098424	1100452	genic|chr7:1098424-1100452	ZFAND2A	1199855	NEU	0.020684
chr7	1098424	1100452	genic|chr7:1098424-1100452	EIF2AK1	6098860	NEU	0.015258
chr7	1105323	1105823	genic|chr7:1105323-1105823	GPR146	1094910	NEU	0.026329
chr7	1112642	1113288	genic|chr7:1112642-1113288	GPER1	1126442	NEU	0.018529
chr7	1118487	1118987	genic|chr7:1118487-1118987	GPER1	1126442	NEU	0.015421
chr7	1121549	1122049	genic|chr7:1121549-1122049	GPER1	1126442	NEU	0.018210
chr7	1161967	1162467	genic|chr7:1161967-1162467	C7orf50	1177893	NEU	0.038896
chr7	1162591	1163188	genic|chr7:1162591-1163188	C7orf50	1177893	NEU	0.039413
chr7	1163256	1163756	genic|chr7:1163256-1163756	C7orf50	1177893	NEU	0.059912
chr7	1176347	1177172	genic|chr7:1176347-1177172	C7orf50	1177893	NEU	0.056650
chr7	1183765	1184265	intergenic|chr7:1183765-1184265	ZFAND2A	1199855	NEU	0.021800
chr7	1209292	1209930	intergenic|chr7:1209292-1209930	ZFAND2A	1199855	NEU	0.038853
chr7	1209292	1209930	intergenic|chr7:1209292-1209930	LOC101927021	1200009	NEU	0.043150
chr7	1270367	1270867	intergenic|chr7:1270367-1270867	UNCX	1272653	NEU	0.028891
chr7	1271013	1271513	intergenic|chr7:1271013-1271513	UNCX	1272653	NEU	0.030872
chr7	1274303	1274803	genic|chr7:1274303-1274803	UNCX	1272653	NEU	0.031288
chr7	1275698	1276198	genic|chr7:1275698-1276198	UNCX	1272653	NEU	0.023337
chr7	1277227	1277727	intergenic|chr7:1277227-1277727	UNCX	1272653	NEU	0.025285
chr7	1278194	1279563	intergenic|chr7:1278194-1279563	UNCX	1272653	NEU	0.046356
chr7	1279782	1281001	intergenic|chr7:1279782-1281001	UNCX	1272653	NEU	0.045898
chr7	1281542	1282290	intergenic|chr7:1281542-1282290	UNCX	1272653	NEU	0.039738
chr7	1282471	1282971	intergenic|chr7:1282471-1282971	UNCX	1272653	NEU	0.027513
chr7	1285030	1285769	intergenic|chr7:1285030-1285769	UNCX	1272653	NEU	0.025849
chr7	1286127	1286627	intergenic|chr7:1286127-1286627	UNCX	1272653	NEU	0.022563
chr7	1286725	1287225	intergenic|chr7:1286725-1287225	UNCX	1272653	NEU	0.021071
chr7	1287330	1288942	intergenic|chr7:1287330-1288942	UNCX	1272653	NEU	0.086732
chr7	1287330	1288942	intergenic|chr7:1287330-1288942	RBAK	5085552	NEU	0.012734
chr7	1481191	1481691	genic|chr7:1481191-1481691	MICALL2	1499109	NEU	0.023836
chr7	1486142	1486745	genic|chr7:1486142-1486745	MICALL2	1499109	NEU	0.021422
