"Category"	"Prop._SNPs"	"Prop._h2"	"Prop._h2_std_error"	"Enrichment"	"Enrichment_std_error"	"Enrichment_p"	"Coefficient"	"Coefficient_std_error"	"Coefficient_z.score"	"method"	"type"
"L2_0"	0.0162725739890857	0.598039407901186	0	36.7513712521634	0	1.14475541917134e-19	1.28607090738929e-06	1.27228061800577e-07	10.1083903125486	"ABC"	"Regul"
"L2_0"	0.0569943673699877	0.573145473679497	6.10055936753153e-16	10.0561774808173	1.07037934607271e-14	6.91742274562861e-45	9.06949560513084e-07	4.92996797392877e-08	18.396662317267	"ABC"	"Candidate Regul"
"L2_0"	0.0266308067055575	0.600321065746598	0	22.5423537628441	0	5.01857610544838e-11	4.5464625978741e-07	6.54083493419328e-08	6.95089028176926	"Rao"	"Regul"
"L2_0"	0.0371373924639845	0.576079859798632	0	15.5121246155693	0	5.97322199889196e-09	2.81386251487358e-07	4.62756748536203e-08	6.08065149514171	"Rao"	"Candidate Regul"
"L2_0"	0.00293770926951281	0.624239791485665	5.02928023939063e-16	212.492024981488	1.7119734384828e-13	1.3146056337909e-11	2.87938450345788e-06	4.0084164733097e-07	7.18334664731184	"DNAse"	"Regul"
"L2_0"	0.0710441980401447	0.577029126736782	0	8.12211472090546	0	8.91091331085616e-42	7.02523885358858e-07	4.04700721302866e-08	17.3590964477948	"DNAse"	"Candidate Regul"
"L2_0"	0.823538682656891	0.580164273051843	5.29207941670865e-16	0.704477258044666	6.42602409353183e-16	6.10017599444595e-25	3.95152019612558e-08	3.32944946473779e-09	11.868389167567	"ABC"	"Prom"
"L2_0"	0.68827771689454	0.570299274850418	0	0.828588897841365	0	2.69962050281671e-16	3.27365682753159e-08	3.66391292425531e-09	8.93486525255497	"ABC"	"Candidate Prom"
"L2_0"	0.277380627645031	0.594110367069768	3.87454252642255e-16	2.14185962485477	1.39683241736004e-15	2.6872652199737e-13	6.12913123034341e-08	7.82125093896721e-09	7.83651014162801	"Rao"	"Prom"
"L2_0"	1.20891298695291	0.574103216084513	0	0.47489209089527	0	9.52807517416402e-32	3.50685846787844e-08	2.49014954168076e-09	14.0829231705958	"Rao"	"Candidate Prom"
"L2_0"	0.250143328180857	0.594200902234925	5.1405650100895e-16	2.37544173796757	2.05504781897393e-15	4.16690525502815e-12	6.28508706278615e-08	8.51702918352823e-09	7.37943586590191	"DNAse"	"Prom"
"L2_0"	1.22436850257544	0.574377898724724	0	0.469121753390853	0	2.3667359711828e-32	3.51723671500622e-08	2.46323524330304e-09	14.2789314360809	"DNAse"	"Candidate Prom"
